in:LabR[%],in:FFR [%],in:UnderGrnd [%],in:GlzR [%],in:Uvalue [IP],in:HVAC,in:HeatRecov,in:LabACH,in:Plant,out:PeakCool [Btu/h-sf],out:PeakHeat [Btu/h-sf],out:EUI [kBtu/sf],img
60,35,50,60,0.4,VAV,Glycol,4/2,Campus,16.42932,7.428777,80.880537,65035601_R4.png
40,45,50,60,0.4,VAV,Glycol,4/2,Campus,14.190007,7.092455,65.911227,65045401_R4.png
50,45,50,60,0.4,VAV,Glycol,4/2,Campus,15.490969,7.423498,73.892678,65045501_R4.png
60,45,50,60,0.4,VAV,Glycol,4/2,Campus,16.791932,7.75454,81.874127,65045601_R4.png
40,55,50,60,0.4,VAV,Glycol,4/2,Campus,14.639806,7.496302,67.251219,65055401_R4.png
50,55,50,60,0.4,VAV,Glycol,4/2,Campus,15.891796,7.78569,75.086088,65055501_R4.png
60,55,50,60,0.4,VAV,Glycol,4/2,Campus,17.143786,8.075077,82.920959,65055601_R4.png
40,35,10,80,0.4,VAV,Glycol,4/2,Campus,16.335428,8.907076,70.204746,81035401_R4.png
50,35,10,80,0.4,VAV,Glycol,4/2,Campus,17.538454,9.193334,77.909475,81035501_R4.png
60,35,10,80,0.4,VAV,Glycol,4/2,Campus,18.74148,9.479591,85.614204,81035601_R4.png
40,45,10,80,0.4,VAV,Glycol,4/2,Campus,17.401905,9.799384,73.225789,81045401_R4.png
50,45,10,80,0.4,VAV,Glycol,4/2,Campus,18.491379,9.993028,80.603037,81045501_R4.png
60,45,10,80,0.4,VAV,Glycol,4/2,Campus,19.580853,10.186672,87.980281,81045601_R4.png
40,55,10,80,0.4,VAV,Glycol,4/2,Campus,18.444641,10.674165,76.321818,81055401_R4.png
50,55,10,80,0.4,VAV,Glycol,4/2,Campus,19.422643,10.777019,83.358269,81055501_R4.png
60,55,10,80,0.4,VAV,Glycol,4/2,Campus,20.400644,10.879873,90.394723,81055601_R4.png
40,35,30,80,0.4,VAV,Glycol,4/2,Campus,15.497403,8.173697,68.321993,83035401_R4.png
50,35,30,80,0.4,VAV,Glycol,4/2,Campus,16.806695,8.536581,76.25801,83035501_R4.png
60,35,30,80,0.4,VAV,Glycol,4/2,Campus,18.115987,8.899465,84.194027,83035601_R4.png
40,45,30,80,0.4,VAV,Glycol,4/2,Campus,16.314957,8.869505,70.657852,83045401_R4.png
50,45,30,80,0.4,VAV,Glycol,4/2,Campus,17.537374,9.160301,78.341508,83045501_R4.png
60,45,30,80,0.4,VAV,Glycol,4/2,Campus,18.759792,9.451096,86.025162,83045601_R4.png
40,55,30,80,0.4,VAV,Glycol,4/2,Campus,17.112966,9.551619,73.052191,83055401_R4.png
50,55,30,80,0.4,VAV,Glycol,4/2,Campus,18.249675,9.771751,80.471932,83055501_R4.png
60,55,30,80,0.4,VAV,Glycol,4/2,Campus,19.386384,9.991883,87.891675,83055601_R4.png
40,35,50,80,0.4,VAV,Glycol,4/2,Campus,14.659377,7.440318,66.43924,85035401_R4.png
50,35,50,80,0.4,VAV,Glycol,4/2,Campus,16.074935,7.879828,74.606544,85035501_R4.png
60,35,50,80,0.4,VAV,Glycol,4/2,Campus,17.490494,8.319339,82.773849,85035601_R4.png
40,45,50,80,0.4,VAV,Glycol,4/2,Campus,15.22801,7.939626,68.089914,85045401_R4.png
50,45,50,80,0.4,VAV,Glycol,4/2,Campus,16.58337,8.327573,76.079978,85045501_R4.png
60,45,50,80,0.4,VAV,Glycol,4/2,Campus,17.93873,8.715521,84.070043,85045601_R4.png
40,55,50,80,0.4,VAV,Glycol,4/2,Campus,15.781291,8.429074,69.782564,85055401_R4.png
